Class No,Term1,Term2,Term3,Term4,Total Fees,CLASS
1,0,0,5250,5250,10500,Pre KG
2,6050,6050,6050,6050,24200,LKG - A
3,6050,6050,6050,6050,24200,LKG - B
4,6050,6050,6050,6050,24200,UKG - A
5,6050,6050,6050,6050,24200,UKG - B
6,6050,6050,6050,6050,24200,UKG - C
7,7150,7550,7150,7150,29000,I - A
8,7150,7550,7150,7150,29000,I - B
9,7150,7550,7150,7150,29000,I - C
10,7150,7550,7150,7150,29000,I - D
11,7150,7550,7150,7150,29000,II - A
12,7150,7550,7150,7150,29000,II - B
13,7150,7550,7150,7150,29000,II - C
14,7150,7550,7150,7150,29000,II - D
15,7425,7825,7425,7425,30100,III - A
16,7425,7825,7425,7425,30100,III - B
17,7425,7825,7425,7425,30100,III - C
18,7425,7825,7425,7425,30100,III - D
19,7425,7825,7425,7425,30100,IV - A
20,7425,7825,7425,7425,30100,IV - B
21,7425,7825,7425,7425,30100,IV - C
22,7425,7825,7425,7425,30100,IV - D
23,7700,8100,7700,7700,31200,V - A
24,7700,8100,7700,7700,31200,V - B
25,7700,8100,7700,7700,31200,V - C
26,7700,8100,7700,7700,31200,V - D
27,7700,8100,7700,7700,31200,VI - A
28,7700,8100,7700,7700,31200,VI - B
29,7700,8100,7700,7700,31200,VI - C
30,7700,8100,7700,7700,31200,VI - D
31,7975,8375,7975,7975,32300,VII - A
32,7975,8375,7975,7975,32300,VII - B
33,7975,8375,7975,7975,32300,VII - C
34,7975,8375,7975,7975,32300,VII - D
35,9900,10300,9900,9900,40000,VIII - A
36,9900,10300,9900,9900,40000,VIII - B
37,9900,10300,9900,9900,40000,VIII - C
38,10450,10850,10450,10450,42200,IX - A
39,10450,10850,10450,10450,42200,IX - B
40,10450,10850,10450,10450,42200,IX - C
41,10450,10450,10450,10450,41800,X - A
42,10450,10450,10450,10450,41800,X - B
43,10450,10450,10450,10450,41800,X - C
